"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"retained_intron"	"sense_intronic"	"sense_overlapping"	"miRNA"	"piRNA"	"rRNA"	"siRNA"	"snRNA"	"snoRNA"	"tRNA"	"vaultRNA"	"macro_lncRNA"	"bidlncRNA"	"processed_transcript"	"misc_RNA"	"transcribed_unprocessed_pseudogene"	"TEC"	"transcribed_unitary_pseudogene"	"unprocessed_pseudogene"
"gen65 "	" SRSF4 "	34244	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen67 "	" HDAC1 "	41549	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen69 "	" RNF19B "	28240	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen71 "	" DLGAP3 "	64149	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen73 "	" SRM "	5440	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen75 "	" FBXO6 "	10230	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen77 "	" KIAA2013 "	6837	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen79 "	" MIIP "	12579	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen81 "	" PLEKHM2 "	50437	" protein_coding "	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen83 "	" PADI2 "	52674	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen85 "	" MFAP2 "	6333	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen87 "	" KIF17 "	54003	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen89 "	" HMGCL "	36735	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen90 "	" GALE "	5205	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen92 "	" RCAN3 "	38689	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen94 "	" RSRP1 "	95976	" protein_coding "	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen96 "	" MTFR1L "	14302	" protein_coding "	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen98 "	" RPS6KA1 "	45269	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen100 "	" ARID1A "	88874	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen102 "	" PPP1R8 "	20898	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen104 "	" TAF12 "	53762	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen106 "	" TARDBP "	14076	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen108 "	" ADGRB2 "	37776	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen110 "	" FABP3 "	11225	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen112 "	" TMEM39B "	30835	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen114 "	" ZSCAN20 "	23862	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen116 "	" ZNF436 "	9994	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen118 "	" AHDC1 "	70396	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen120 "	" INTS11 "	13106	" protein_coding "	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen122 "	" PLA2G5 "	63011	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen124 "	" HP1BP3 "	44662	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen126 "	" ARHGEF16 "	26687	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen128 "	" SESN2 "	22964	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen130 "	" MED18 "	6965	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen132 "	" UBE4B "	148407	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen134 "	" ACAP3 "	17233	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen136 "	" NPHP4 "	129662	" protein_coding "	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen138 "	" RSG1 "	5462	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen140 "	" EPHB2 "	210661	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen142 "	" PUM1 "	134485	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen144 "	" YARS "	42916	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen146 "	" SLC2A5 "	53371	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen148 "	" MMEL1 "	42351	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen150 "	" EPHA2 "	31750	" protein_coding "	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen152 "	" EFHD2 "	20448	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen154 "	" PGD "	21552	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen156 "	" CNKSR1 "	12483	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen158 "	" ZNF593 "	1002	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen160 "	" MAP3K6 "	11708	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen162 "	" GPN2 "	14164	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen164 "	" WDTC1 "	74117	" protein_coding "	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen166 "	" HSPG2 "	115052	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen168 "	" AZIN2 "	39426	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen170 "	" PLCH2 "	79550	" protein_coding "	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen172 "	" FAM213B "	4978	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen174 "	" PANK4 "	18095	" protein_coding "	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen175 "	" PEX10 "	9833	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen177 "	" SKI "	81424	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen179 "	" PAFAH2 "	38390	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen181 "	" UBXN11 "	37035	" protein_coding "	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen183 "	" XKR8 "	8634	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen185 "	" WASF2 "	85932	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen187 "	" RNF207 "	15824	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen189 "	" NBL1 "	61477	" protein_coding "	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen191 "	" PINK1 "	18056	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen193 "	" C1QC "	4480	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen195 "	" ALDH4A1 "	31351	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen197 "	" CCDC28B "	5001	" protein_coding "	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen199 "	" TMEM234 "	7887	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen201 "	" ZBTB8A "	66512	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen203 "	" SSU72 "	33196	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen205 "	" ZNF362 "	44174	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen207 "	" NOL9 "	33188	" protein_coding "	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen209 "	" GMEB1 "	50621	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen211 "	" SELENON "	18048	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen213 "	" RBP7 "	18814	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen215 "	" SLC25A34 "	4991	" protein_coding "	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen217 "	" PDPN "	34492	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen219 "	" MATN1 "	12310	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen221 "	" SDC3 "	39294	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen223 "	" SYNC "	23236	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen225 "	" KIAA1522 "	33085	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen227 "	" TMCO4 "	117732	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen229 "	" CAMK2N1 "	3829	" protein_coding "	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen231 "	" TTLL10 "	24051	" protein_coding "	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen233 "	" MXRA8 "	9088	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen235 "	" MEGF6 "	121575	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen237 "	" ZMYM6 "	45803	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen239 "	" PTAFR "	46770	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen241 "	" CLIC4 "	98967	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen243 "	" LUZP1 "	93785	" protein_coding "	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen245 "	" OTUD3 "	30432	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen247 "	" IFFO2 "	52405	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen249 "	" PIK3CD "	77382	" protein_coding "	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen251 "	" SPSB1 "	76652	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen253 "	" TMEM51 "	67948	" protein_coding "	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen254 "	" CAMTA1 "	984382	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen256 "	" EXOSC10 "	33263	" protein_coding "	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen258 "	" C1QA "	3102	" protein_coding "	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen260 "	" NMNAT1 "	42073	" protein_coding "	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen262 "	" PDIK1L "	14378	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen264 "	" TMEM51-AS1 "	40649	" antisense "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen266 "	" AURKAIP1 "	1765	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen268 "	" B3GALT6 "	2776	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen270 "	" MTHFR "	21197	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen272 "	" AGTRAP "	18718	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen274 "	" CTNNBIP1 "	62060	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen276 "	" RCC2 "	32964	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen277 "	" FUCA1 "	23217	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen279 "	" TRNAU1AP "	25460	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen281 "	" GPR157 "	28865	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen283 "	" PAQR7 "	10043	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen285 "	" PRKCZ-AS1 "	2595	" antisense "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen287 "	" TMEM50A "	24444	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen289 "	" C1QTNF12 "	4276	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen291 "	" MATN1-AS1 "	8323	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen293 "	" TMEM222 "	14255	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen295 "	" MST1L "	15327	" transcribed_unprocessed_pseudogene "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen297 "	" TNFRSF18 "	3183	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen299 "	" PLEKHN1 "	9368	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen301 "	" GABRD "	11460	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen303 "	" HS6ST1P1 "	1233	" processed_pseudogene "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen305 "	" RAB42 "	3243	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen307 "	" PLA2G2A "	4985	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen309 "	" SRSF10 "	16123	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen311 "	" NOC2L "	15105	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen313 "	" KAZN "	1225251	" protein_coding "	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen315 "	" MMP23B "	3168	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen317 "	" FAM110D "	4942	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
"gen319 "	" MIB2 "	15195	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
