"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"sense_intronic"	"sense_overlapping"	"miRNA"	"rRNA"	"snRNA"	"snoRNA"	"vaultRNA"	"macro_lncRNA"	"unprocessed_pseudogene"	"TEC"	"misc_RNA"	"processed_transcript"	"bidirectional_promoter_lncRNA"	"transcribed_unprocessed_pseudogene"	"unitary_pseudogene"	"transcribed_unitary_pseudogene"	"polymorphic_pseudogene"	"IG_V_gene"	"pseudogene"	"ribozyme"	"sRNA"	"non_coding"	"scaRNA"	"IG_C_pseudogene"	"3prime_overlapping_ncRNA"
"25"	"AKR7A2"	8181	"protein_coding"	16	2	2	0	1	0	0	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"KIF1B"	170798	"protein_coding"	15	4	3	0	0	2	2	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"PITHD1"	9827	"protein_coding"	19	5	4	0	0	6	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	"PIGV"	10926	"protein_coding"	21	4	11	0	0	0	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	"SNRNP40"	37214	"protein_coding"	13	6	6	0	0	2	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"KCNAB2"	109727	"protein_coding"	17	3	1	0	0	4	0	0	3	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"ENO1"	18250	"protein_coding"	8	2	7	0	0	3	0	0	2	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"39"	"EIF4G3"	370596	"protein_coding"	15	6	7	0	0	5	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"GNB1"	105832	"protein_coding"	36	8	2	3	0	4	3	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"TP73"	83681	"protein_coding"	12	4	1	0	0	7	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	"PLOD1"	41333	"protein_coding"	19	3	4	0	0	1	0	0	3	0	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	"COL16A1"	52072	"protein_coding"	17	6	2	0	0	4	1	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	"ASAP3"	56005	"protein_coding"	21	4	5	0	0	5	0	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"51"	"NUDC"	46624	"protein_coding"	24	4	13	0	0	0	0	0	1	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	"USP48"	105308	"protein_coding"	11	3	6	1	0	3	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	"DVL1"	14074	"protein_coding"	45	5	3	2	0	14	2	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	"MORN1"	70454	"protein_coding"	18	10	0	1	0	5	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	"WRAP73"	21994	"protein_coding"	12	5	0	0	0	7	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"RPL22"	28120	"protein_coding"	20	3	1	0	0	1	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"ERRFI1"	21904	"protein_coding"	9	3	4	0	0	7	1	0	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	"SRSF4"	34244	"protein_coding"	8	2	1	0	0	4	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	"HDAC1"	41549	"protein_coding"	27	3	2	0	0	5	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	"RNF19B"	28240	"protein_coding"	19	4	1	0	0	2	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	"DLGAP3"	64149	"protein_coding"	13	3	3	0	0	1	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"73"	"SRM"	5440	"protein_coding"	12	5	5	0	0	1	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"FBXO6"	10230	"protein_coding"	21	3	6	0	0	2	0	0	2	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"KIAA2013"	6837	"protein_coding"	19	3	5	0	0	1	0	0	3	0	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	"MIIP"	12579	"protein_coding"	19	3	4	0	0	2	0	0	3	0	3	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"PLEKHM2"	50437	"protein_coding"	26	11	8	0	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"83"	"PADI2"	52674	"protein_coding"	12	2	2	0	0	10	0	0	2	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85"	"MFAP2"	6333	"protein_coding"	11	2	2	0	0	13	0	0	2	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	"KIF17"	54003	"protein_coding"	14	4	4	0	0	6	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	"HMGCL"	36735	"protein_coding"	20	6	4	0	0	5	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	"GALE"	5205	"protein_coding"	16	1	0	0	0	2	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"92"	"RCAN3"	38689	"protein_coding"	11	4	2	0	0	4	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	"RSRP1"	95976	"protein_coding"	14	5	3	0	0	5	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	"MTFR1L"	14302	"protein_coding"	29	4	5	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	"RPS6KA1"	45269	"protein_coding"	31	3	8	0	0	0	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	"ARID1A"	88874	"protein_coding"	24	4	12	0	0	0	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102"	"PPP1R8"	20898	"protein_coding"	23	4	9	0	0	3	2	0	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"104"	"TAF12"	53762	"protein_coding"	15	3	6	0	0	3	0	0	0	0	3	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"106"	"TARDBP"	14076	"protein_coding"	12	5	5	0	0	1	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	"ADGRB2"	37776	"protein_coding"	23	7	2	0	0	4	1	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	"FABP3"	11225	"protein_coding"	13	5	6	0	0	2	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	"TMEM39B"	30835	"protein_coding"	27	6	2	0	0	5	1	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"114"	"ZSCAN20"	23862	"protein_coding"	9	4	3	0	0	2	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"116"	"ZNF436"	9994	"protein_coding"	19	3	3	0	0	5	0	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	"AHDC1"	70396	"protein_coding"	20	4	13	0	0	2	2	0	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	"INTS11"	13106	"protein_coding"	45	5	3	3	0	16	2	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"122"	"PLA2G5"	63011	"protein_coding"	19	4	2	0	0	7	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"124"	"HP1BP3"	44662	"protein_coding"	12	4	4	0	0	6	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	"ARHGEF16"	26687	"protein_coding"	13	6	0	0	0	7	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	"SESN2"	22964	"protein_coding"	20	3	6	0	0	3	2	0	0	0	4	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"130"	"MED18"	6965	"protein_coding"	19	3	6	0	0	3	0	0	0	0	3	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"UBE4B"	148407	"protein_coding"	17	6	5	0	0	2	2	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	"ACAP3"	17233	"protein_coding"	45	5	3	3	0	17	2	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"136"	"NPHP4"	129662	"protein_coding"	13	3	0	0	0	5	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"138"	"RSG1"	5462	"protein_coding"	20	7	7	0	0	7	0	0	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"140"	"EPHB2"	210661	"protein_coding"	14	3	4	0	0	3	1	0	6	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	"PUM1"	134485	"protein_coding"	9	3	6	0	0	2	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	"YARS"	42916	"protein_coding"	24	3	3	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	"SLC2A5"	53371	"protein_coding"	9	1	7	0	0	6	0	0	2	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"148"	"MMEL1"	42351	"protein_coding"	15	9	0	1	0	6	2	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"150"	"EPHA2"	31750	"protein_coding"	22	7	6	0	0	6	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"152"	"EFHD2"	20448	"protein_coding"	18	8	6	0	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"154"	"PGD"	21552	"protein_coding"	13	3	3	0	0	2	2	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"156"	"CNKSR1"	12483	"protein_coding"	28	4	8	0	0	0	0	0	2	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	"ZNF593"	1002	"protein_coding"	28	4	8	0	0	0	0	0	2	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	"MAP3K6"	11708	"protein_coding"	24	4	13	0	0	2	2	0	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"162"	"GPN2"	14164	"protein_coding"	22	4	13	0	0	0	0	0	1	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"164"	"WDTC1"	74117	"protein_coding"	25	4	13	0	0	2	1	0	0	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"166"	"HSPG2"	115052	"protein_coding"	11	1	7	1	0	3	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"168"	"AZIN2"	39426	"protein_coding"	20	4	2	0	0	2	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"170"	"PLCH2"	79550	"protein_coding"	15	9	0	1	0	6	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	"FAM213B"	4978	"protein_coding"	15	8	0	1	0	6	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	"PANK4"	18095	"protein_coding"	15	9	0	1	0	6	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	"PEX10"	9833	"protein_coding"	17	7	0	0	0	3	2	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	"SKI"	81424	"protein_coding"	20	10	0	2	0	3	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"179"	"PAFAH2"	38390	"protein_coding"	29	5	5	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"181"	"UBXN11"	37035	"protein_coding"	30	5	8	0	0	0	0	0	2	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	"XKR8"	8634	"protein_coding"	18	4	9	0	0	3	2	0	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"185"	"WASF2"	85932	"protein_coding"	25	4	14	0	0	2	2	0	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	"RNF207"	15824	"protein_coding"	20	3	1	0	0	1	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	"NBL1"	61477	"protein_coding"	19	3	2	0	0	1	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	"PINK1"	18056	"protein_coding"	14	4	3	0	0	7	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	"C1QC"	4480	"protein_coding"	11	2	2	0	0	0	1	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"195"	"ALDH4A1"	31351	"protein_coding"	14	1	3	0	1	1	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"197"	"CCDC28B"	5001	"protein_coding"	26	3	2	0	0	5	1	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"199"	"TMEM234"	7887	"protein_coding"	25	4	2	0	0	5	1	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	"ZBTB8A"	66512	"protein_coding"	31	4	3	0	0	1	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	"SSU72"	33196	"protein_coding"	43	7	2	2	0	8	2	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	"ZNF362"	44174	"protein_coding"	15	3	2	0	0	2	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	"NOL9"	33188	"protein_coding"	20	5	2	0	0	3	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	"GMEB1"	50621	"protein_coding"	17	3	3	0	0	4	0	0	0	0	2	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	"SELENON"	18048	"protein_coding"	28	4	4	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	"RBP7"	18814	"protein_coding"	16	5	5	0	0	3	2	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"215"	"SLC25A34"	4991	"protein_coding"	25	11	7	0	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"217"	"PDPN"	34492	"protein_coding"	18	1	1	0	0	3	0	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"219"	"MATN1"	12310	"protein_coding"	5	2	5	0	0	4	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	"SDC3"	39294	"protein_coding"	8	3	5	0	0	4	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	"SYNC"	23236	"protein_coding"	29	3	3	0	0	2	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	"KIAA1522"	33085	"protein_coding"	24	2	3	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	"TMCO4"	117732	"protein_coding"	22	5	2	0	0	3	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	"CAMK2N1"	3829	"protein_coding"	16	4	1	0	0	7	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"231"	"TTLL10"	24051	"protein_coding"	42	6	5	3	0	17	2	0	6	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	"MXRA8"	9088	"protein_coding"	45	5	3	2	0	14	2	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	"MEGF6"	121575	"protein_coding"	13	6	0	0	0	7	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	"ZMYM6"	45803	"protein_coding"	14	3	4	0	0	1	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	"PTAFR"	46770	"protein_coding"	20	4	10	0	0	4	2	0	0	0	6	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	"CLIC4"	98967	"protein_coding"	12	3	3	0	0	6	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"243"	"LUZP1"	93785	"protein_coding"	16	3	3	0	0	5	0	0	5	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"245"	"OTUD3"	30432	"protein_coding"	16	4	1	0	0	5	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"247"	"IFFO2"	52405	"protein_coding"	13	1	3	0	1	0	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"249"	"PIK3CD"	77382	"protein_coding"	12	3	5	0	0	5	2	0	3	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"251"	"SPSB1"	76652	"protein_coding"	13	4	7	0	0	6	0	0	2	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"253"	"TMEM51"	67948	"protein_coding"	13	6	5	0	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	"CAMTA1"	984382	"protein_coding"	16	3	1	0	0	3	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"256"	"EXOSC10"	33263	"protein_coding"	12	5	5	0	0	1	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
