"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"retained_intron"	"sense_intronic"	"sense_overlapping"	"miRNA"	"piRNA"	"rRNA"	"siRNA"	"snRNA"	"snoRNA"	"tRNA"	"vaultRNA"	"macro_lncRNA"	"bidlncRNA"
"gen7590 "	" FAM166A "	4186	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7591 "	" TUBB4B "	2494	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7592 "	" IER5L "	2710	" protein_coding "	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7593 "	" NDOR1 "	11324	" protein_coding "	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7594 "	" NOXA1 "	11056	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7595 "	" NELFB "	18373	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7596 "	" AKR1C3 "	72332	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen7597 "	" ZNF79 "	20998	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen7598 "	" EEF1A1P5 "	1388	" processed_pseudogene "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7599 "	" NTNG2 "	82858	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7600 "	" WDR5 "	24603	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7601 "	" ASB13 "	27728	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7602 "	" PPP1R26 "	9814	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7603 "	" RABL6 "	33244	" protein_coding "	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7604 "	" COL27A1 "	156951	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7605 "	" MVB12B "	180192	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen7606 "	" ARRDC1 "	9706	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7607 "	" CYSRT1 "	1676	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7608 "	" UAP1L1 "	7038	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7609 "	" SPTAN1 "	81104	" protein_coding "	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen7610 "	" STPG3 "	2222	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7611 "	" ADAMTSL2 "	43355	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7612 "	" RPL12 "	3731	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen7613 "	" TOR4A "	4892	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7614 "	" LPAR1 "	165195	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7615 "	" NRARP "	1769	" protein_coding "	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"gen7616 "	" STKLD1 "	29729	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7617 "	" SFMBT2 "	252862	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7618 "	" SPOUT1 "	10170	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7619 "	" SNORA65 "	129	" snoRNA "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7620 "	" ARRDC1-AS1 "	3574	" antisense "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7621 "	" LINC00963 "	30235	" processed_transcript "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7622 "	" GGTA1P "	55036	" transcribed_unitary_pseudogene "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7623 "	" COL15A1 "	127613	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7624 "	" CASC10 "	4604	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7625 "	" RNU6-1039P "	106	" snRNA "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7626 "	" RNF208 "	1334	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7627 "	" CCDC183 "	11391	" protein_coding "	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7628 "	" DNLZ "	4309	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7629 "	" B3GNT10 "	7515	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7630 "	" TMSB4XP4 "	617	" processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7631 "	" PPP1R26-AS1 "	18050	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7632 "	" SFTA1P "	10543	" lincRNA "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7633 "	" DBH-AS1 "	2727	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7634 "	" ODF2-AS1 "	4055	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7635 "	" CUTALP "	29557	" transcribed_unitary_pseudogene "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7636 "	" ZNF883 "	54505	" transcribed_unprocessed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7637 "	" VIM-AS1 "	15746	" antisense "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7638 "	" ORM1 "	3419	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7639 "	" RALGAPA1P1 "	6231	" processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7640 "	" YWHAZP3 "	737	" processed_pseudogene "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7641 "	" SNORD62B "	85	" snoRNA "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen7642 "	" AJM1 "	4386	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7643 "	" PRPS1P2 "	936	" processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7644 "	" IDI2-AS1 "	21535	" antisense "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7645 "	" SNHG7 "	6818	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
"gen7646 "	" LINC00702 "	42771	" lincRNA "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7647 "	" FAM238A "	4465	" transcribed_unprocessed_pseudogene "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7648 "	" LINC01503 "	27238	" lincRNA "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7649 "	" SLC25A25-AS1 "	10112	" antisense "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7650 "	" BRD3OS "	9227	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7651 "	" MIR600HG "	5983	" sense_intronic "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7652 "	" PITRM1-AS1 "	26340	" antisense "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7653 "	" NALT1 "	3681	" antisense "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7654 "	" PRKCQ-AS1 "	36033	" processed_transcript "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7655 "	" TMEM250 "	4282	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7656 "	" RPL12P28 "	789	" processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7657 "	" NSUN6 "	113724	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7658 "	" AKAP2 "	123914	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7659 "	" GNG10 "	8911	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7660 "	" TMEM141 "	1902	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7661 "	" STX17-AS1 "	20279	" antisense "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7662 "	" MAN1B1-AS1 "	1871	" antisense "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7663 "	" NRBF2P5 "	787	" processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7664 "	" ALOX5 "	71943	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7665 "	" COX15 "	20256	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7666 "	" ABCC2 "	69460	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7667 "	" FAS "	25203	" protein_coding "	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"gen7668 "	" VCL "	126170	" protein_coding "	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen7669 "	" AIFM2 "	34711	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7670 "	" RRP12 "	69718	" protein_coding "	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7671 "	" MRPL43 "	18057	" protein_coding "	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7672 "	" ALDH18A1 "	50777	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7673 "	" PSD "	18922	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7674 "	" CCAR1 "	71365	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen7675 "	" WAPL "	86559	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7676 "	" UBE2D1 "	35778	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7677 "	" RHOBTB1 "	132002	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7678 "	" TACR2 "	12964	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7679 "	" ZNF37A "	55959	" protein_coding "	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7680 "	" SEC31B "	33222	" protein_coding "	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7681 "	" NT5C2 "	105289	" protein_coding "	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7682 "	" TM9SF3 "	69343	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7683 "	" NFKB2 "	8419	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7684 "	" SAR1A "	23234	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7685 "	" PDE6C "	53422	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7686 "	" CWF19L1 "	35382	" protein_coding "	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"gen7687 "	" SEMA4G "	16353	" protein_coding "	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7688 "	" BTAF1 "	106556	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7689 "	" BLNK "	79885	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7690 "	" SORBS1 "	249643	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7691 "	" CRTAC1 "	165828	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7692 "	" BAMBI "	5597	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7693 "	" WAC "	90619	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7694 "	" CREM "	86167	" protein_coding "	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
"gen7695 "	" SIRT1 "	33721	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7696 "	" HNRNPH3 "	12017	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7697 "	" SCD "	17710	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7698 "	" RAB18 "	38063	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7699 "	" NRP1 "	158770	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7700 "	" HSD17B7P2 "	22125	" transcribed_unprocessed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7701 "	" TSPAN15 "	56196	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7702 "	" H2AFY2 "	59484	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7703 "	" WASHC2A "	65618	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7704 "	" NHP2P1 "	461	" processed_pseudogene "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7705 "	" PDLIM1 "	53452	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7706 "	" CCNJ "	17476	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7707 "	" HPS1 "	30749	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7708 "	" RASSF4 "	36484	" protein_coding "	2	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen7709 "	" DNMBP "	134342	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7710 "	" CXCL12 "	16328	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7711 "	" ERLIN1 "	38240	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7712 "	" DDX50 "	45569	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7713 "	" MAPK8 "	132721	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7714 "	" PALD1 "	89628	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7715 "	" UNC5B "	90294	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7716 "	" CDH23 "	419013	" protein_coding "	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7717 "	" VSIR "	25939	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7718 "	" SPOCK2 "	29997	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7719 "	" MICU1 "	258864	" protein_coding "	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
"gen7720 "	" PPP3CB "	59596	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7721 "	" CCSER2 "	189963	" protein_coding "	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7722 "	" BMPR1A "	176237	" protein_coding "	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7723 "	" MINPP1 "	48585	" protein_coding "	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"gen7724 "	" ACTA2 "	56265	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7725 "	" LIPA "	200988	" protein_coding "	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7726 "	" TWNK "	7034	" protein_coding "	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7727 "	" LZTS2 "	11218	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7728 "	" SFXN3 "	10010	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7729 "	" KAZALD1 "	6290	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7730 "	" FBXW4 "	84631	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7731 "	" NPM3 "	2088	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7732 "	" TNKS2 "	66964	" protein_coding "	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7733 "	" GBF1 "	137367	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7734 "	" CPEB3 "	244395	" protein_coding "	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen7735 "	" FBXL15 "	3947	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7736 "	" CUEDC2 "	9416	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7737 "	" SUFU "	129548	" protein_coding "	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7738 "	" ANKRD26 "	108584	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7739 "	" ACBD5 "	46916	" protein_coding "	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
"gen7740 "	" MTPAP "	64647	" protein_coding "	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"gen7741 "	" MAP3K8 "	27896	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7742 "	" DKK1 "	3746	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7743 "	" TFAM "	14199	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7744 "	" CCDC6 "	117893	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7745 "	" CUL2 "	82091	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7746 "	" CCNY "	325644	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7747 "	" ZMIZ1 "	247493	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7748 "	" DNAJC12 "	41501	" protein_coding "	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"gen7749 "	" PPIF "	7868	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7750 "	" PBLD "	50389	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7751 "	" TSPAN14 "	78957	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7752 "	" TBC1D12 "	133426	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7753 "	" SLF2 "	52567	" protein_coding "	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7754 "	" IDE "	122392	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7755 "	" ELOVL3 "	3261	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7756 "	" IFIT3 "	13077	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7757 "	" IFIT2 "	25582	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7758 "	" CUTC "	53576	" protein_coding "	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7759 "	" PPP1R3C "	4612	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7760 "	" PYROXD2 "	31619	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7761 "	" HELLS "	112471	" protein_coding "	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"gen7762 "	" TCTN3 "	30747	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7763 "	" AVPI1 "	9899	" protein_coding "	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7764 "	" C10orf76 "	210594	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7765 "	" KCNIP2 "	17946	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7766 "	" GOT1 "	33754	" protein_coding "	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7767 "	" C10orf95 "	1706	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7768 "	" MASTL "	32100	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7769 "	" SEPT7P9 "	19847	" transcribed_unprocessed_pseudogene "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7770 "	" EPC1 "	111047	" protein_coding "	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7771 "	" ANXA11 "	54683	" protein_coding "	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7772 "	" LDB3 "	67619	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7773 "	" OPN4 "	12291	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7774 "	" FAM35A "	97307	" protein_coding "	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"gen7775 "	" FAM213A "	29286	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7776 "	" PLAU "	8320	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7777 "	" SRGN "	16705	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7778 "	" CHST3 "	49199	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7779 "	" BICC1 "	318297	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7780 "	" CISD1 "	20528	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7781 "	" EGR2 "	107904	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7782 "	" ECD "	38900	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"gen7783 "	" P4HA1 "	89757	" protein_coding "	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7784 "	" SLC25A16 "	49475	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7785 "	" ZWINT "	4047	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7786 "	" VPS26A "	49349	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7787 "	" ARHGAP22 "	210231	" protein_coding "	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"gen7788 "	" WDFY4 "	298080	" protein_coding "	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"gen7789 "	" SFTPD "	44874	" protein_coding "	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7790 "	" TMEM254 "	13911	" protein_coding "	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7791 "	" ABI1 "	114494	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"gen7792 "	" YME1L1 "	45154	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7793 "	" ACTR1A "	40830	" protein_coding "	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7794 "	" MFSD13A "	15650	" protein_coding "	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7795 "	" CYP2C8 "	32725	" protein_coding "	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7796 "	" MYOF "	175888	" protein_coding "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gen7797 "	" LOXL4 "	20560	" protein_coding "	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
