"ensembl_gene_id" 	 "hgnc_symbol" 	 "external_gene_name" 	 "chromosome_name" 	 "start_position" 	 "end_position" 	 "transcript_count" 	 "gene_biotype"
"17" 	 "ENSG00000028137" 	 "TNFRSF1B" 	 "TNFRSF1B" 	 "1" 	 12167003 	 12209228 	 4 	 "protein_coding"
"18" 	 "ENSG00000037637" 	 "FBXO42" 	 "FBXO42" 	 "1" 	 16246839 	 16352454 	 4 	 "protein_coding"
"19" 	 "ENSG00000040487" 	 "PQLC2" 	 "PQLC2" 	 "1" 	 19312326 	 19329300 	 6 	 "protein_coding"
"20" 	 "ENSG00000041988" 	 "THAP3" 	 "THAP3" 	 "1" 	 6624866 	 6635586 	 8 	 "protein_coding"
"21" 	 "ENSG00000048707" 	 "VPS13D" 	 "VPS13D" 	 "1" 	 12230032 	 12512047 	 20 	 "protein_coding"
"22" 	 "ENSG00000049239" 	 "H6PD" 	 "H6PD" 	 "1" 	 9234775 	 9271337 	 3 	 "protein_coding"
"23" 	 "ENSG00000049245" 	 "VAMP3" 	 "VAMP3" 	 "1" 	 7771269 	 7781432 	 3 	 "protein_coding"
"24" 	 "ENSG00000049246" 	 "PER3" 	 "PER3" 	 "1" 	 7784320 	 7845177 	 9 	 "protein_coding"
"25" 	 "ENSG00000053371" 	 "AKR7A2" 	 "AKR7A2" 	 "1" 	 19303965 	 19312146 	 5 	 "protein_coding"
"26" 	 "ENSG00000053372" 	 "MRTO4" 	 "MRTO4" 	 "1" 	 19251539 	 19260128 	 3 	 "protein_coding"
"27" 	 "ENSG00000054523" 	 "KIF1B" 	 "KIF1B" 	 "1" 	 10210805 	 10381603 	 13 	 "protein_coding"
"28" 	 "ENSG00000055070" 	 "SZRD1" 	 "SZRD1" 	 "1" 	 16352575 	 16398145 	 10 	 "protein_coding"
"29" 	 "ENSG00000057757" 	 "PITHD1" 	 "PITHD1" 	 "1" 	 23778405 	 23788232 	 3 	 "protein_coding"
"30" 	 "ENSG00000058453" 	 "CROCC" 	 "CROCC" 	 "1" 	 16740273 	 16972979 	 13 	 "protein_coding"
"31" 	 "ENSG00000060642" 	 "PIGV" 	 "PIGV" 	 "1" 	 26787472 	 26798398 	 6 	 "protein_coding"
"32" 	 "ENSG00000060656" 	 "PTPRU" 	 "PTPRU" 	 "1" 	 29236516 	 29326813 	 11 	 "protein_coding"
"33" 	 "ENSG00000060688" 	 "SNRNP40" 	 "SNRNP40" 	 "1" 	 31259568 	 31296782 	 7 	 "protein_coding"
"34" 	 "ENSG00000065526" 	 "SPEN" 	 "SPEN" 	 "1" 	 15847864 	 15940460 	 5 	 "protein_coding"
"35" 	 "ENSG00000069424" 	 "KCNAB2" 	 "KCNAB2" 	 "1" 	 5991466 	 6101193 	 19 	 "protein_coding"
"36" 	 "ENSG00000070831" 	 "CDC42" 	 "CDC42" 	 "1" 	 22052627 	 22092946 	 5 	 "protein_coding"
"37" 	 "ENSG00000074800" 	 "ENO1" 	 "ENO1" 	 "1" 	 8861000 	 8879250 	 17 	 "protein_coding"
"38" 	 "ENSG00000074964" 	 "ARHGEF10L" 	 "ARHGEF10L" 	 "1" 	 17539835 	 17697874 	 9 	 "protein_coding"
"39" 	 "ENSG00000075151" 	 "EIF4G3" 	 "EIF4G3" 	 "1" 	 20806292 	 21176888 	 14 	 "protein_coding"
"40" 	 "ENSG00000077549" 	 "CAPZB" 	 "CAPZB" 	 "1" 	 19338776 	 19485539 	 9 	 "protein_coding"
"41" 	 "ENSG00000078369" 	 "GNB1" 	 "GNB1" 	 "1" 	 1785285 	 1891117 	 10 	 "protein_coding"
"42" 	 "ENSG00000078808" 	 "SDF4" 	 "SDF4" 	 "1" 	 1216908 	 1232031 	 7 	 "protein_coding"
"43" 	 "ENSG00000078900" 	 "TP73" 	 "TP73" 	 "1" 	 3652520 	 3736201 	 14 	 "protein_coding"
"44" 	 "ENSG00000080947" 	 "CROCCP3" 	 "CROCCP3" 	 "1" 	 16467436 	 16499257 	 6 	 "transcribed_unprocessed_pseudogene"
"45" 	 "ENSG00000083444" 	 "PLOD1" 	 "PLOD1" 	 "1" 	 11934205 	 11975538 	 9 	 "protein_coding"
"46" 	 "ENSG00000084623" 	 "EIF3I" 	 "EIF3I" 	 "1" 	 32221928 	 32231604 	 6 	 "protein_coding"
"47" 	 "ENSG00000084636" 	 "COL16A1" 	 "COL16A1" 	 "1" 	 31652247 	 31704319 	 17 	 "protein_coding"
"48" 	 "ENSG00000084652" 	 "TXLNA" 	 "TXLNA" 	 "1" 	 32179686 	 32198285 	 2 	 "protein_coding"
"49" 	 "ENSG00000088280" 	 "ASAP3" 	 "ASAP3" 	 "1" 	 23428563 	 23484568 	 12 	 "protein_coding"
"50" 	 "ENSG00000090020" 	 "SLC9A1" 	 "SLC9A1" 	 "1" 	 27098815 	 27166981 	 6 	 "protein_coding"
"51" 	 "ENSG00000090273" 	 "NUDC" 	 "NUDC" 	 "1" 	 26900238 	 26946862 	 4 	 "protein_coding"
"52" 	 "ENSG00000090432" 	 "MUL1" 	 "MUL1" 	 "1" 	 20499448 	 20508161 	 1 	 "protein_coding"
"53" 	 "ENSG00000090686" 	 "USP48" 	 "USP48" 	 "1" 	 21678298 	 21783606 	 15 	 "protein_coding"
"54" 	 "ENSG00000097021" 	 "ACOT7" 	 "ACOT7" 	 "1" 	 6264269 	 6394391 	 10 	 "protein_coding"
"55" 	 "ENSG00000107404" 	 "DVL1" 	 "DVL1" 	 "1" 	 1335276 	 1349350 	 8 	 "protein_coding"
"56" 	 "ENSG00000116138" 	 "DNAJC16" 	 "DNAJC16" 	 "1" 	 15526813 	 15592379 	 10 	 "protein_coding"
"57" 	 "ENSG00000116151" 	 "MORN1" 	 "MORN1" 	 "1" 	 2321253 	 2391707 	 11 	 "protein_coding"
"58" 	 "ENSG00000116198" 	 "CEP104" 	 "CEP104" 	 "1" 	 3812081 	 3857214 	 11 	 "protein_coding"
"59" 	 "ENSG00000116213" 	 "WRAP73" 	 "WRAP73" 	 "1" 	 3630767 	 3652761 	 10 	 "protein_coding"
"60" 	 "ENSG00000116237" 	 "ICMT" 	 "ICMT" 	 "1" 	 6221193 	 6235972 	 4 	 "protein_coding"
"61" 	 "ENSG00000116251" 	 "RPL22" 	 "RPL22" 	 "1" 	 6181269 	 6209389 	 8 	 "protein_coding"
"62" 	 "ENSG00000116273" 	 "PHF13" 	 "PHF13" 	 "1" 	 6613685 	 6624033 	 2 	 "protein_coding"
"63" 	 "ENSG00000116285" 	 "ERRFI1" 	 "ERRFI1" 	 "1" 	 8004404 	 8026308 	 5 	 "protein_coding"
"64" 	 "ENSG00000116288" 	 "PARK7" 	 "PARK7" 	 "1" 	 7954291 	 7985505 	 10 	 "protein_coding"
"65" 	 "ENSG00000116350" 	 "SRSF4" 	 "SRSF4" 	 "1" 	 29147743 	 29181987 	 8 	 "protein_coding"
"66" 	 "ENSG00000116353" 	 "MECR" 	 "MECR" 	 "1" 	 29192873 	 29230942 	 18 	 "protein_coding"
"67" 	 "ENSG00000116478" 	 "HDAC1" 	 "HDAC1" 	 "1" 	 32292086 	 32333635 	 10 	 "protein_coding"
"68" 	 "ENSG00000116497" 	 "S100PBP" 	 "S100PBP" 	 "1" 	 32816767 	 32858879 	 16 	 "protein_coding"
"69" 	 "ENSG00000116514" 	 "RNF19B" 	 "RNF19B" 	 "1" 	 32936445 	 32964685 	 3 	 "protein_coding"
"70" 	 "ENSG00000116525" 	 "TRIM62" 	 "TRIM62" 	 "1" 	 33145402 	 33182059 	 4 	 "protein_coding"
"71" 	 "ENSG00000116544" 	 "DLGAP3" 	 "DLGAP3" 	 "1" 	 34865436 	 34929585 	 3 	 "protein_coding"
"72" 	 "ENSG00000116560" 	 "SFPQ" 	 "SFPQ" 	 "1" 	 35176378 	 35193148 	 10 	 "protein_coding"
"73" 	 "ENSG00000116649" 	 "SRM" 	 "SRM" 	 "1" 	 11054584 	 11060024 	 6 	 "protein_coding"
"74" 	 "ENSG00000116661" 	 "FBXO2" 	 "FBXO2" 	 "1" 	 11637018 	 11655785 	 6 	 "protein_coding"
"75" 	 "ENSG00000116663" 	 "FBXO6" 	 "FBXO6" 	 "1" 	 11664124 	 11674354 	 3 	 "protein_coding"
"76" 	 "ENSG00000116670" 	 "MAD2L2" 	 "MAD2L2" 	 "1" 	 11674480 	 11691650 	 9 	 "protein_coding"
"77" 	 "ENSG00000116685" 	 "KIAA2013" 	 "KIAA2013" 	 "1" 	 11919591 	 11926428 	 3 	 "protein_coding"
"78" 	 "ENSG00000116688" 	 "MFN2" 	 "MFN2" 	 "1" 	 11980181 	 12013514 	 6 	 "protein_coding"
"79" 	 "ENSG00000116691" 	 "MIIP" 	 "MIIP" 	 "1" 	 12019466 	 12032045 	 7 	 "protein_coding"
"80" 	 "ENSG00000116731" 	 "PRDM2" 	 "PRDM2" 	 "1" 	 13700198 	 13825079 	 14 	 "protein_coding"
"81" 	 "ENSG00000116786" 	 "PLEKHM2" 	 "PLEKHM2" 	 "1" 	 15684332 	 15734769 	 5 	 "protein_coding"
"82" 	 "ENSG00000116809" 	 "ZBTB17" 	 "ZBTB17" 	 "1" 	 15941869 	 15976132 	 16 	 "protein_coding"
"83" 	 "ENSG00000117115" 	 "PADI2" 	 "PADI2" 	 "1" 	 17066761 	 17119435 	 4 	 "protein_coding"
"84" 	 "ENSG00000117118" 	 "SDHB" 	 "SDHB" 	 "1" 	 17018722 	 17054170 	 8 	 "protein_coding"
"85" 	 "ENSG00000117122" 	 "MFAP2" 	 "MFAP2" 	 "1" 	 16974502 	 16980835 	 6 	 "protein_coding"
"86" 	 "ENSG00000117154" 	 "IGSF21" 	 "IGSF21" 	 "1" 	 18107746 	 18378483 	 4 	 "protein_coding"
"87" 	 "ENSG00000117245" 	 "KIF17" 	 "KIF17" 	 "1" 	 20664014 	 20718017 	 9 	 "protein_coding"
"88" 	 "ENSG00000117298" 	 "ECE1" 	 "ECE1" 	 "1" 	 21217247 	 21345504 	 13 	 "protein_coding"
"89" 	 "ENSG00000117305" 	 "HMGCL" 	 "HMGCL" 	 "1" 	 23801885 	 23838620 	 9 	 "protein_coding"
"90" 	 "ENSG00000117308" 	 "GALE" 	 "GALE" 	 "1" 	 23795599 	 23800804 	 16 	 "protein_coding"
"91" 	 "ENSG00000117318" 	 "ID3" 	 "ID3" 	 "1" 	 23557918 	 23559794 	 3 	 "protein_coding"
"92" 	 "ENSG00000117602" 	 "RCAN3" 	 "RCAN3" 	 "1" 	 24502351 	 24541040 	 11 	 "protein_coding"
"93" 	 "ENSG00000117614" 	 "SYF2" 	 "SYF2" 	 "1" 	 25222679 	 25232502 	 4 	 "protein_coding"
"94" 	 "ENSG00000117616" 	 "RSRP1" 	 "RSRP1" 	 "1" 	 25242237 	 25338213 	 22 	 "protein_coding"
"95" 	 "ENSG00000117632" 	 "STMN1" 	 "STMN1" 	 "1" 	 25884181 	 25906991 	 9 	 "protein_coding"
"96" 	 "ENSG00000117640" 	 "MTFR1L" 	 "MTFR1L" 	 "1" 	 25818640 	 25832942 	 23 	 "protein_coding"
"97" 	 "ENSG00000117643" 	 "MAN1C1" 	 "MAN1C1" 	 "1" 	 25617468 	 25786207 	 8 	 "protein_coding"
"98" 	 "ENSG00000117676" 	 "RPS6KA1" 	 "RPS6KA1" 	 "1" 	 26529761 	 26575030 	 20 	 "protein_coding"
"99" 	 "ENSG00000117682" 	 "DHDDS" 	 "DHDDS" 	 "1" 	 26432282 	 26471294 	 25 	 "protein_coding"
"100" 	 "ENSG00000117713" 	 "ARID1A" 	 "ARID1A" 	 "1" 	 26693236 	 26782110 	 17 	 "protein_coding"
"101" 	 "ENSG00000117748" 	 "RPA2" 	 "RPA2" 	 "1" 	 27891524 	 27914746 	 5 	 "protein_coding"
"102" 	 "ENSG00000117751" 	 "PPP1R8" 	 "PPP1R8" 	 "1" 	 27830778 	 27851676 	 5 	 "protein_coding"
"103" 	 "ENSG00000117758" 	 "STX12" 	 "STX12" 	 "1" 	 27773183 	 27824452 	 5 	 "protein_coding"
"104" 	 "ENSG00000120656" 	 "TAF12" 	 "TAF12" 	 "1" 	 28589323 	 28643085 	 4 	 "protein_coding"
"105" 	 "ENSG00000120942" 	 "UBIAD1" 	 "UBIAD1" 	 "1" 	 11273206 	 11296049 	 4 	 "protein_coding"
"106" 	 "ENSG00000120948" 	 "TARDBP" 	 "TARDBP" 	 "1" 	 11012344 	 11026420 	 31 	 "protein_coding"
"107" 	 "ENSG00000120949" 	 "TNFRSF8" 	 "TNFRSF8" 	 "1" 	 12063377 	 12144207 	 5 	 "protein_coding"
"108" 	 "ENSG00000121753" 	 "ADGRB2" 	 "ADGRB2" 	 "1" 	 31727117 	 31764893 	 15 	 "protein_coding"
"109" 	 "ENSG00000121766" 	 "ZCCHC17" 	 "ZCCHC17" 	 "1" 	 31296982 	 31364953 	 9 	 "protein_coding"
"110" 	 "ENSG00000121769" 	 "FABP3" 	 "FABP3" 	 "1" 	 31365625 	 31376850 	 4 	 "protein_coding"
"111" 	 "ENSG00000121774" 	 "KHDRBS1" 	 "KHDRBS1" 	 "1" 	 32013829 	 32060850 	 4 	 "protein_coding"
"112" 	 "ENSG00000121775" 	 "TMEM39B" 	 "TMEM39B" 	 "1" 	 32072031 	 32102866 	 9 	 "protein_coding"
"113" 	 "ENSG00000121900" 	 "TMEM54" 	 "TMEM54" 	 "1" 	 32894594 	 32901438 	 6 	 "protein_coding"
"114" 	 "ENSG00000121903" 	 "ZSCAN20" 	 "ZSCAN20" 	 "1" 	 33472645 	 33496507 	 3 	 "protein_coding"
"115" 	 "ENSG00000125944" 	 "HNRNPR" 	 "HNRNPR" 	 "1" 	 23303771 	 23344336 	 13 	 "protein_coding"
"116" 	 "ENSG00000125945" 	 "ZNF436" 	 "ZNF436" 	 "1" 	 23359448 	 23369442 	 2 	 "protein_coding"
"117" 	 "ENSG00000126698" 	 "DNAJC8" 	 "DNAJC8" 	 "1" 	 28199456 	 28233025 	 6 	 "protein_coding"
"118" 	 "ENSG00000126705" 	 "AHDC1" 	 "AHDC1" 	 "1" 	 27534035 	 27604431 	 16 	 "protein_coding"
"119" 	 "ENSG00000126709" 	 "IFI6" 	 "IFI6" 	 "1" 	 27666061 	 27672218 	 3 	 "protein_coding"
"120" 	 "ENSG00000127054" 	 "INTS11" 	 "INTS11" 	 "1" 	 1311585 	 1324691 	 50 	 "protein_coding"
"121" 	 "ENSG00000127463" 	 "EMC1" 	 "EMC1" 	 "1" 	 19215664 	 19251552 	 13 	 "protein_coding"
"122" 	 "ENSG00000127472" 	 "PLA2G5" 	 "PLA2G5" 	 "1" 	 20028179 	 20091190 	 8 	 "protein_coding"
"123" 	 "ENSG00000127481" 	 "UBR4" 	 "UBR4" 	 "1" 	 19074506 	 19210276 	 17 	 "protein_coding"
"124" 	 "ENSG00000127483" 	 "HP1BP3" 	 "HP1BP3" 	 "1" 	 20742661 	 20787323 	 14 	 "protein_coding"
"125" 	 "ENSG00000130695" 	 "CEP85" 	 "CEP85" 	 "1" 	 26234153 	 26279038 	 9 	 "protein_coding"
"126" 	 "ENSG00000130762" 	 "ARHGEF16" 	 "ARHGEF16" 	 "1" 	 3454426 	 3481113 	 7 	 "protein_coding"
"127" 	 "ENSG00000130764" 	 "LRRC47" 	 "LRRC47" 	 "1" 	 3778558 	 3796504 	 3 	 "protein_coding"
"128" 	 "ENSG00000130766" 	 "SESN2" 	 "SESN2" 	 "1" 	 28259527 	 28282491 	 1 	 "protein_coding"
"129" 	 "ENSG00000130770" 	 "ATP5IF1" 	 "ATP5IF1" 	 "1" 	 28236109 	 28246906 	 4 	 "protein_coding"
"130" 	 "ENSG00000130772" 	 "MED18" 	 "MED18" 	 "1" 	 28329002 	 28335967 	 5 	 "protein_coding"
"131" 	 "ENSG00000130775" 	 "THEMIS2" 	 "THEMIS2" 	 "1" 	 27872543 	 27886685 	 11 	 "protein_coding"
"132" 	 "ENSG00000130939" 	 "UBE4B" 	 "UBE4B" 	 "1" 	 10032832 	 10181239 	 10 	 "protein_coding"
"133" 	 "ENSG00000130940" 	 "CASZ1" 	 "CASZ1" 	 "1" 	 10636604 	 10796650 	 9 	 "protein_coding"
"134" 	 "ENSG00000131584" 	 "ACAP3" 	 "ACAP3" 	 "1" 	 1292376 	 1309609 	 13 	 "protein_coding"
"135" 	 "ENSG00000131591" 	 "C1orf159" 	 "C1orf159" 	 "1" 	 1081818 	 1116361 	 19 	 "protein_coding"
"136" 	 "ENSG00000131697" 	 "NPHP4" 	 "NPHP4" 	 "1" 	 5862811 	 5992473 	 11 	 "protein_coding"
"137" 	 "ENSG00000132879" 	 "FBXO44" 	 "FBXO44" 	 "1" 	 11654375 	 11663327 	 9 	 "protein_coding"
"138" 	 "ENSG00000132881" 	 "RSG1" 	 "RSG1" 	 "1" 	 16231700 	 16237162 	 2 	 "protein_coding"
"139" 	 "ENSG00000132906" 	 "CASP9" 	 "CASP9" 	 "1" 	 15490832 	 15526534 	 11 	 "protein_coding"
"140" 	 "ENSG00000133216" 	 "EPHB2" 	 "EPHB2" 	 "1" 	 22710839 	 22921500 	 7 	 "protein_coding"
"141" 	 "ENSG00000133226" 	 "SRRM1" 	 "SRRM1" 	 "1" 	 24631716 	 24673267 	 23 	 "protein_coding"
"142" 	 "ENSG00000134644" 	 "PUM1" 	 "PUM1" 	 "1" 	 30931506 	 31065991 	 23 	 "protein_coding"
"143" 	 "ENSG00000134668" 	 "SPOCD1" 	 "SPOCD1" 	 "1" 	 31790422 	 31816051 	 14 	 "protein_coding"
"144" 	 "ENSG00000134684" 	 "YARS" 	 "YARS" 	 "1" 	 32775237 	 32818153 	 10 	 "protein_coding"
"145" 	 "ENSG00000134686" 	 "PHC2" 	 "PHC2" 	 "1" 	 33323623 	 33431052 	 12 	 "protein_coding"
"146" 	 "ENSG00000142583" 	 "SLC2A5" 	 "SLC2A5" 	 "1" 	 9035107 	 9088478 	 10 	 "protein_coding"
"147" 	 "ENSG00000142599" 	 "RERE" 	 "RERE" 	 "1" 	 8352397 	 8817643 	 18 	 "protein_coding"
"148" 	 "ENSG00000142606" 	 "MMEL1" 	 "MMEL1" 	 "1" 	 2590639 	 2632990 	 9 	 "protein_coding"
"149" 	 "ENSG00000142611" 	 "PRDM16" 	 "PRDM16" 	 "1" 	 3069168 	 3438621 	 10 	 "protein_coding"
"150" 	 "ENSG00000142627" 	 "EPHA2" 	 "EPHA2" 	 "1" 	 16124337 	 16156087 	 4 	 "protein_coding"
"151" 	 "ENSG00000142632" 	 "ARHGEF19" 	 "ARHGEF19" 	 "1" 	 16197854 	 16212609 	 6 	 "protein_coding"
"152" 	 "ENSG00000142634" 	 "EFHD2" 	 "EFHD2" 	 "1" 	 15409895 	 15430343 	 2 	 "protein_coding"
"153" 	 "ENSG00000142655" 	 "PEX14" 	 "PEX14" 	 "1" 	 10472288 	 10630758 	 4 	 "protein_coding"
"154" 	 "ENSG00000142657" 	 "PGD" 	 "PGD" 	 "1" 	 10398592 	 10420144 	 10 	 "protein_coding"
"155" 	 "ENSG00000142669" 	 "SH3BGRL3" 	 "SH3BGRL3" 	 "1" 	 26279176 	 26281522 	 2 	 "protein_coding"
"156" 	 "ENSG00000142675" 	 "CNKSR1" 	 "CNKSR1" 	 "1" 	 26177403 	 26189886 	 14 	 "protein_coding"
"157" 	 "ENSG00000142676" 	 "RPL11" 	 "RPL11" 	 "1" 	 23691742 	 23696835 	 6 	 "protein_coding"
"158" 	 "ENSG00000142684" 	 "ZNF593" 	 "ZNF593" 	 "1" 	 26169871 	 26170873 	 2 	 "protein_coding"
"159" 	 "ENSG00000142687" 	 "KIAA0319L" 	 "KIAA0319L" 	 "1" 	 35433490 	 35557950 	 20 	 "protein_coding"
"160" 	 "ENSG00000142733" 	 "MAP3K6" 	 "MAP3K6" 	 "1" 	 27355184 	 27366892 	 8 	 "protein_coding"
"161" 	 "ENSG00000142748" 	 "FCN3" 	 "FCN3" 	 "1" 	 27369112 	 27374824 	 4 	 "protein_coding"
"162" 	 "ENSG00000142751" 	 "GPN2" 	 "GPN2" 	 "1" 	 26876133 	 26890297 	 5 	 "protein_coding"
"163" 	 "ENSG00000142765" 	 "SYTL1" 	 "SYTL1" 	 "1" 	 27342020 	 27353937 	 11 	 "protein_coding"
"164" 	 "ENSG00000142784" 	 "WDTC1" 	 "WDTC1" 	 "1" 	 27234516 	 27308633 	 5 	 "protein_coding"
"165" 	 "ENSG00000142794" 	 "NBPF3" 	 "NBPF3" 	 "1" 	 21440128 	 21485005 	 13 	 "protein_coding"
"166" 	 "ENSG00000142798" 	 "HSPG2" 	 "HSPG2" 	 "1" 	 21822245 	 21937297 	 15 	 "protein_coding"
"167" 	 "ENSG00000142910" 	 "TINAGL1" 	 "TINAGL1" 	 "1" 	 31576485 	 31587686 	 11 	 "protein_coding"
"168" 	 "ENSG00000142920" 	 "AZIN2" 	 "AZIN2" 	 "1" 	 33081104 	 33120530 	 19 	 "protein_coding"
"169" 	 "ENSG00000146463" 	 "ZMYM4" 	 "ZMYM4" 	 "1" 	 35268967 	 35422058 	 6 	 "protein_coding"
"170" 	 "ENSG00000149527" 	 "PLCH2" 	 "PLCH2" 	 "1" 	 2425980 	 2505530 	 8 	 "protein_coding"
"171" 	 "ENSG00000157191" 	 "NECAP2" 	 "NECAP2" 	 "1" 	 16440672 	 16460078 	 12 	 "protein_coding"
"172" 	 "ENSG00000157870" 	 "FAM213B" 	 "FAM213B" 	 "1" 	 2586491 	 2591469 	 15 	 "protein_coding"
"173" 	 "ENSG00000157873" 	 "TNFRSF14" 	 "TNFRSF14" 	 "1" 	 2555639 	 2565382 	 16 	 "protein_coding"
"174" 	 "ENSG00000157881" 	 "PANK4" 	 "PANK4" 	 "1" 	 2508533 	 2526628 	 12 	 "protein_coding"
"175" 	 "ENSG00000157911" 	 "PEX10" 	 "PEX10" 	 "1" 	 2403964 	 2413797 	 8 	 "protein_coding"
"176" 	 "ENSG00000157916" 	 "RER1" 	 "RER1" 	 "1" 	 2391775 	 2405444 	 9 	 "protein_coding"
"177" 	 "ENSG00000157933" 	 "SKI" 	 "SKI" 	 "1" 	 2228695 	 2310119 	 4 	 "protein_coding"
"178" 	 "ENSG00000157978" 	 "LDLRAP1" 	 "LDLRAP1" 	 "1" 	 25543580 	 25568886 	 7 	 "protein_coding"
"179" 	 "ENSG00000158006" 	 "PAFAH2" 	 "PAFAH2" 	 "1" 	 25959767 	 25998157 	 7 	 "protein_coding"
"180" 	 "ENSG00000158022" 	 "TRIM63" 	 "TRIM63" 	 "1" 	 26051304 	 26068436 	 2 	 "protein_coding"
"181" 	 "ENSG00000158062" 	 "UBXN11" 	 "UBXN11" 	 "1" 	 26281328 	 26318363 	 16 	 "protein_coding"
"182" 	 "ENSG00000158109" 	 "TPRG1L" 	 "TPRG1L" 	 "1" 	 3625002 	 3630127 	 2 	 "protein_coding"
"183" 	 "ENSG00000158156" 	 "XKR8" 	 "XKR8" 	 "1" 	 27959462 	 27968096 	 2 	 "protein_coding"
"184" 	 "ENSG00000158161" 	 "EYA3" 	 "EYA3" 	 "1" 	 27970344 	 28088696 	 8 	 "protein_coding"
"185" 	 "ENSG00000158195" 	 "WASF2" 	 "WASF2" 	 "1" 	 27404226 	 27490158 	 2 	 "protein_coding"
"186" 	 "ENSG00000158246" 	 "FAM46B" 	 "FAM46B" 	 "1" 	 27005020 	 27012836 	 1 	 "protein_coding"
"187" 	 "ENSG00000158286" 	 "RNF207" 	 "RNF207" 	 "1" 	 6205475 	 6221299 	 9 	 "protein_coding"
"188" 	 "ENSG00000158292" 	 "GPR153" 	 "GPR153" 	 "1" 	 6247346 	 6260975 	 1 	 "protein_coding"
"189" 	 "ENSG00000158747" 	 "NBL1" 	 "NBL1" 	 "1" 	 19596979 	 19658456 	 14 	 "protein_coding"
"190" 	 "ENSG00000158825" 	 "CDA" 	 "CDA" 	 "1" 	 20588948 	 20618908 	 2 	 "protein_coding"
"191" 	 "ENSG00000158828" 	 "PINK1" 	 "PINK1" 	 "1" 	 20633455 	 20651511 	 3 	 "protein_coding"
"192" 	 "ENSG00000159023" 	 "EPB41" 	 "EPB41" 	 "1" 	 28887091 	 29120046 	 33 	 "protein_coding"
"193" 	 "ENSG00000159189" 	 "C1QC" 	 "C1QC" 	 "1" 	 22643630 	 22648110 	 3 	 "protein_coding"
"194" 	 "ENSG00000159363" 	 "ATP13A2" 	 "ATP13A2" 	 "1" 	 16985958 	 17011928 	 15 	 "protein_coding"
"195" 	 "ENSG00000159423" 	 "ALDH4A1" 	 "ALDH4A1" 	 "1" 	 18871430 	 18902781 	 6 	 "protein_coding"
"196" 	 "ENSG00000160049" 	 "DFFA" 	 "DFFA" 	 "1" 	 10456522 	 10472526 	 3 	 "protein_coding"
"197" 	 "ENSG00000160050" 	 "CCDC28B" 	 "CCDC28B" 	 "1" 	 32200386 	 32205387 	 5 	 "protein_coding"
"198" 	 "ENSG00000160051" 	 "IQCC" 	 "IQCC" 	 "1" 	 32205661 	 32208687 	 3 	 "protein_coding"
"199" 	 "ENSG00000160055" 	 "TMEM234" 	 "TMEM234" 	 "1" 	 32214472 	 32222359 	 12 	 "protein_coding"
"200" 	 "ENSG00000160058" 	 "BSDC1" 	 "BSDC1" 	 "1" 	 32365103 	 32394731 	 16 	 "protein_coding"
